x,y,v,kappa
-5.558162299588669,0.3458080257941547,5.360150848280683,0.509421986761605
-5.476468061657243,0.28855827207836743,5.4321160515191185,0.489455569657887
-5.392078116737177,0.23536668859038123,5.505288946001734,0.4709583467808912
-5.305273722040085,0.18618414347756004,5.579158567352764,0.4484522919531564
-5.216376570988521,0.14094432543839752,5.656260287085513,0.4267923520971945
-5.125603563505262,0.09952020116868007,5.736222948318095,0.4082282622770381
-5.033253550790486,0.06184106008400683,5.817462794537872,0.3905012584682056
-4.939466806004033,0.027772134924311305,5.899814388882656,0.3722994941801623
-4.844522055215973,-0.002776481257035029,5.983878407613585,0.3544993229793962
-4.748511322923879,-0.029961004135376834,6.069696203524887,0.33724095725858205
-4.651686099069706,-0.05388886381549777,6.157223400172252,0.32032402716211134
-4.554099193899076,-0.074720595645445,6.246539302281774,0.3035811370849739
-4.45597221209921,-0.09257904143941377,6.33732094846792,0.28702601034320785
-4.357328836984215,-0.10762746183707064,6.426022377701635,0.2706209660314821
-4.258358626019216,-0.12000193437205549,6.512745687318012,0.2543235503045681
-4.159064584863109,-0.12986565521081103,6.59758495231133,0.23811157022917165
-4.059603380404757,-0.13736505051317582,6.680627081160382,0.22194360337698513
-3.9599638870397604,-0.14266245399798475,6.761952557718933,0.20579996532031952
-3.860270030239252,-0.14591201388467973,6.841636087179821,0.1896570179750466
-3.7605021071681146,-0.14727524589499844,6.919747160850852,0.17350034321771962
-3.6607523493403082,-0.1469115551269795,6.996350551876978,0.15731929321490404
-3.5609969669906287,-0.14498202047300812,7.071506751956335,0.1410962224543731
-3.4612984516583736,-0.1416492021909862,7.145272357414296,0.12483776069544235
-3.3616325394714455,-0.13707430823678657,7.21770041163357,0.10851953693012435
-3.2620348874714953,-0.13142142819999753,7.288840709723415,0.09216535078022971
-3.162483506056965,-0.12485243124714501,7.358740070396164,0.07575709552124772
-3.062991045017818,-0.11753171824538133,7.427442579264723,0.05932197839191178
-2.963539762041461,-0.1096220985381842,7.494989807149393,0.04281264199042172
-2.864124054061,-0.10128785765475956,7.561421006461703,0.026283106459325172
-2.7647313623572733,-0.09269302328813843,7.626773288297642,0.009764749711767424
-2.6653441020823285,-0.08400110480527291,7.691081782507008,-0.0067494561829218825
-2.5659550091651977,-0.07537645419841857,7.754379782697442,-0.023259803661134303
-2.4665409236266354,-0.06698201404881775,7.81669887787079,-0.03976308672430311
-2.367099449018871,-0.05897764635243143,7.878069072167933,-0.05221191987234959
-2.2676128580036243,-0.0514909827276728,7.938518894009316,-0.06390021018134046
-2.1680820020202787,-0.044635996372112595,7.998075495756917,-0.07319105680544333
-2.068505037878897,-0.03850803858664082,8.056764744884841,-0.08204367853328484
-1.9688773934721222,-0.033193687562125665,8.114611307526422,-0.08965439727017638
-1.8692132839093987,-0.028770971514619666,8.171638725162834,-0.09703745481347906
-1.769507716032732,-0.025306666485111873,8.22786948512909,-0.098793114611032
-1.6697752250220999,-0.022825215491255678,8.283325085535953,-0.09941500883421416
-1.570026635029585,-0.021327440715229115,8.338026095139023,-0.09514734670514431
-1.4702599464423909,-0.020776457189668696,8.391992208627517,-0.08988195360628669
-1.3705034179581819,-0.021119061004278628,8.44524229775391,-0.08375509633451939
-1.2707384416420926,-0.022295355140554637,8.497794458680595,-0.07745526156550206
-1.1710001506024226,-0.024242326752466584,8.549666055880142,-0.0712354747103259
-1.0712625212318676,-0.026898492233122694,8.60087376289095,-0.06504178085180413
-0.9715578950293827,-0.030201395974803244,8.651433600199276,-0.05890013743700685
-0.8718616722231325,-0.03409063377451939,8.701360970491507,-0.05278196159263231
-0.7721965398907756,-0.03850440883529196,8.750670691496435,-0.046675073121693715
-0.6725463791869407,-0.04338257192059078,8.799377026615893,-0.04058159110730887
-0.5729190453341164,-0.048663972172169966,8.847493713523141,-0.034434916495756425
-0.47331182725001236,-0.054287535127267375,8.895033990891404,-0.02828300879203407
-0.3737143397833383,-0.060192585173995845,8.94201062339987,-0.022182748980912617
-0.2741411553088035,-0.06631736890860107,8.988435925150918,-0.016096205095359774
-0.17456143500870572,-0.07260327322346466,9.034321781620266,-0.01017994562346899
-0.07500970706863969,-0.07898892789227037,9.079679670250806,-0.004300036526612299
0.024565723907102977,-0.08541897778194114,9.124520679791232,0.0015993020520968903
0.12411073670981039,-0.09183110566115893,9.168855528471681,0.007515704032696159
0.22369589385456845,-0.09817067868224719,9.212694581100784,0.013585794178561332
0.3232497944330641,-0.10437277371274675,9.256047865161324,0.019713177833265493
0.42285938129699396,-0.11038155408536993,9.298925085975299,0.025973402581357944
0.5224363127498162,-0.11612941165179964,9.341335641003289,0.03229234935580751
0.6220803237529818,-0.1215589454788866,9.379689185866996,0.038762403409612095
0.721692412447237,-0.12660044102660736,9.249625281091097,0.0452905246084703
0.8213780587029271,-0.1311939753178024,9.122418277389313,0.052012193510519215
0.9210336175486624,-0.13526800961620572,8.997962047284572,0.05880474286443357
1.0207632817499872,-0.138758920085711,8.87627724005615,0.06580719195669503
1.1204614206292953,-0.14159350955026193,8.757256558025091,0.07287454270555901
1.2202271926558386,-0.14370400762295685,8.64092800022064,0.08015870153423266
1.3199585346552056,-0.14501598205623026,8.527181348500559,0.08749869659760189
1.419741341210716,-0.145457260955451,8.416069145451834,0.09508184219892495
1.51948351633508,-0.1449522294606582,8.307476205125502,0.10270779155101141
1.6192489441666604,-0.14342426383624216,8.201578035600626,0.11072041268981668
1.7189638766154427,-0.14079516112376783,8.098268574665914,0.11877552983569593
1.8186595287001013,-0.13698345605927284,7.997741237843765,0.1272604855802309
1.9182885576127102,-0.13190690550528775,7.898943635143612,0.13576824747846136
2.017839799575316,-0.12548102025374772,7.801951616701308,0.1445883855021375
2.117298377146226,-0.1176190675652496,7.706580483848148,0.15339437687448526
2.2166029888057257,-0.10823777553862808,7.612879719250091,0.16248678609817388
2.3157765318379426,-0.09724428439881226,7.520643095021395,0.17153938372661912
2.414700153664704,-0.0845609018230925,7.429946783114001,0.18092333874125846
2.5134394584979973,-0.07008527232619194,7.340568729774606,0.19025005332612954
2.6118112313028203,-0.053750269402810684,7.252577919497552,0.19991223526117727
2.7099268525695814,-0.03544008677178865,7.165736202010456,0.2095026656844833
2.8075348056075944,-0.015104447222624688,7.080099924221491,0.21943002424916067
2.90479148285078,0.007390030209565669,6.9954210380036015,0.22928463073388167
3.0013770770276924,0.032070125745636766,6.911750568931087,0.23949355715478637
3.097489015519909,0.059091034537838434,6.8288272023785135,0.2496303656603094
3.192742747367908,0.08844949074301084,6.7466816226320825,0.2601259257453621
3.2873678315268333,0.12032544452142029,6.665055589730907,0.2705824912207012
3.380923161981587,0.15468009817628992,6.583947097872315,0.281394020094902
3.473658796468606,0.1917197883403849,6.503080546093459,0.2921834627979342
3.565088874985983,0.23136622251061617,6.422459917319596,0.30339480164856075
3.655465310028886,0.2738499964497364,6.341842261546794,0.31468748438992
3.7442731639031233,0.3190529251604359,6.261050660029691,0.3262051425085293
3.8317520522819914,0.3672255909782547,6.179765910416805,0.33778235254871986
3.9173781534104433,0.41821194774112164,6.097999930645284,0.3499859413037979
4.001340808460527,0.47226534141246573,6.015644355126687,0.36267288556573496
4.083123462343275,0.529202535275389,5.932407433452057,0.37561987599900143
4.162878331049216,0.5892859177344395,5.848016350172005,0.38837262510271314
4.240132385743386,0.6523176194464139,5.762268715095834,0.39880200054365805
4.314905134449794,0.7184523421134607,5.673027116652621,0.41121667256687267
4.386721206096683,0.7874462742552454,5.5881321364787455,0.44004149981153523
4.455613812245643,0.8596979808575963,5.508279658545244,0.4669639750830301
4.5211277622745705,0.9350794183345905,5.430074802824033,0.44111245988108116
4.583233168527307,1.0132594767829979,5.3278388312509,0.4123345355014675
4.641910391074818,1.0938679475159416,5.2347782548129596,0.5088799970100958
4.696378625758305,1.1772700569695733,5.21018000757682,0.6486082647228603
4.745249203875679,1.2635632470804241,5.190580395013364,0.5972545301236455
4.7892080035464,1.3531574692828987,5.150011027285904,0.4378478028143685
4.829571086751021,1.4456130839491081,5.00858985902686,0.42137589483079013
4.86568683362371,1.5392312386373803,4.910959128994037,0.5941170847005364
4.895808512376441,1.6338602525603285,4.907509062147868,0.7895741778474016
4.918605969710013,1.730650188202093,4.905567266903389,0.7933633359989221
4.9337296749190775,1.8282237455281505,4.903725173287242,0.6493408955304091
4.9426313610825305,1.9272635734299541,4.972194332424412,0.4535239076425844
4.947055603095158,2.028009831145265,5.011679428065736,0.3812083811999296
4.947383724107109,2.1281842889566454,4.904254475626643,0.5758473225357644
4.941951360766264,2.227523378583132,4.895714053345301,0.7834390349330084
4.928934437369415,2.3266714395166876,4.893777089340058,0.7976838459842527
4.908286413854945,2.423716638805387,4.891939258662227,0.772208396074417
4.880047870794401,2.51943290780399,4.887079088878725,0.7730968826605819
4.8445130639338965,2.612645253074404,4.879917951114943,0.7920518562594384
4.801676283796632,2.702917885199749,4.873598911803654,0.79611655650902
4.752003682153827,2.789174106276273,4.868739793175929,0.8009257430528719
4.695425660419969,2.8714655055378038,4.863886723288427,0.8026195642173802
4.632616945291732,2.9487544031407773,4.860957626331104,0.8078082636250906
4.563696431585116,3.0208476066142644,4.859034894917795,0.8106054871172844
4.489193461092549,3.087127895119556,4.857209629524156,0.8093586856278827
