x,y,v,kappa
-5.772541702709548,-0.18520868995383488,0.0,0.38669776948261125
-5.674183574908758,-0.20228983163707662,0.0,0.5532648066513646
-5.574798970716425,-0.2117206232466426,0.0,0.6544187887759656
-5.474995526653052,-0.21451435340298938,0.0,0.5080945448972385
-5.3751700740732575,-0.21219859793455073,0.0,0.3469400106460463
-5.275473079998315,-0.20646444186859514,0.0,0.23372077055982987
-5.17591197435272,-0.19882955569503025,0.0,0.07529174788261317
-5.076523938505592,-0.18909839714919513,0.0,-0.18465748312253893
-4.9768940589738495,-0.18246298369736766,0.0,-0.29747832755285586
-4.877097542326922,-0.17909143323756446,0.0,-0.16449058200337485
-4.7772406162839225,-0.17795876191948587,0.0,-0.11689046660554481
-4.677409459829931,-0.17564875619602496,0.0,-0.2882207784034285
-4.577593887835462,-0.17812281540336328,0.0,-0.1894044965506836
-4.477893738716691,-0.1837146967249949,0.0,0.20893950353152002
-4.378070952976452,-0.1858487332493597,0.0,0.4159724887686067
-4.278236884314069,-0.18343870885072103,0.0,0.4734518109201846
-4.178610294205085,-0.1769684932697534,0.0,0.6341461461726328
-4.079576234020409,-0.1642939111158703,0.0,0.7471132876440745
-3.982082352793122,-0.1429657853480621,0.0,0.6122722645070322
-3.885996233465492,-0.11579262986878006,0.0,0.35586900369569907
-3.7909557045185505,-0.08514438944398874,0.0,0.17372451699442015
-3.6962078431737657,-0.05359958063236982,0.0,0.10952481390046676
-3.601917598629173,-0.020706481609605976,0.0,0.0674523979644781
-3.5078250338506773,0.012736290185166742,0.0,0.04269829788370538
-3.413762495382002,0.04627693566083983,0.0,0.04122018454279286
-3.320010657050055,0.08068022588826705,0.0,-0.02930648891618537
-3.2261598907389852,0.11481144620231344,0.0,-0.152852216590742
-3.1318066679173087,0.14752024741515926,0.0,-0.28338068280251205
-3.036578122376793,0.17757046903948925,0.0,-0.4257581026831547
-2.9401730055578232,0.2035760854515388,0.0,-0.5230864733967344
-2.842432641911249,0.22395762965316499,0.0,-0.5497910805961037
-2.743758733922845,0.23930918323597952,0.0,-0.582504244244515
-2.644371395625569,0.24875948207974846,0.0,-0.4602798103293415
-2.5445584206161196,0.25196706700653626,0.0,-0.1338647967155948
-2.4447485208329205,0.25525325554269107,0.0,0.06043947739868272
-2.344967361672521,0.25929239451566677,0.0,0.09933441215051575
-2.245235543416523,0.2641587655199211,0.0,0.09262153963335851
-2.1455772431944644,0.2705803601366975,0.0,0.05935262816175402
-2.0459061272852224,0.27675936397200884,0.0,-0.012182971015347599
-1.946339325918368,0.2842340551522884,0.0,-0.1569997728278849
-1.8465831613475834,0.28887201882506097,0.0,-0.1702663890542122
-1.7467579996924842,0.29162646642915063,0.0,-0.04284046160713206
-1.646935514435902,0.29419210468837836,0.0,0.15303473646460453
-1.5471203128412274,0.2973086059698236,0.0,0.39151732461859545
-1.447642959204413,0.3056136887472964,0.0,0.32713282205312
-1.3486242245869222,0.3185805351790908,0.0,-0.1821549295333602
-1.2494393699007251,0.3300509403821048,0.0,-0.6620650978608678
-1.1496642557094594,0.3325959178666181,0.0,-0.6879922501937963
-1.0499072523995145,0.328107748052866,0.0,-0.49673163604758597
-0.9504481722714854,0.31917412158396935,0.0,-0.3901368899637869
-0.851411944189017,0.3063686376553994,0.0,-0.4004225621289137
-0.752858005419943,0.2902607555905861,0.0,-0.37659017570930375
-0.6553239931974563,0.26882592770769276,0.0,-0.18931429227003416
-0.5579742247795667,0.24655472318384342,0.0,-0.04551905866846062
-0.46071997835325573,0.22386949010936338,0.0,0.02196378904795071
-0.3634912099595268,0.2010751260996977,0.0,0.16790937053159927
-0.2659309092154839,0.17977072030977245,0.0,0.33444261026092437
-0.1676409412058237,0.16216100160949934,0.0,0.4276727534005298
-0.06868635028605491,0.14879886383862156,0.0,0.4473168769145963
0.030786373956269795,0.14012417399086452,0.0,0.4297974313001829
0.1305428263060341,0.1355730867026776,0.0,0.4978300499820121
0.2303744392582207,0.13520438834842968,0.0,0.6607381189404571
0.3299592522193518,0.14221182319497883,0.0,0.715314264282374
0.4287458032000455,0.15661242201127223,0.0,0.48782848003226187
0.5264486073155104,0.17722470599004556,0.0,0.010365896428776722
0.6242732037221947,0.19728063456469402,0.0,-0.37068253774585
0.7229184861764518,0.2126545247995151,0.0,-0.3367719780315037
0.8222069130952319,0.22334562809453384,0.0,-0.0874699522341238
0.9214068261281241,0.23478975587335713,0.0,-0.03751546540888495
1.0206446097469526,0.24595308187426723,0.0,-0.19928602464755696
1.1200560314516446,0.2554351399545387,0.0,-0.295544276160038
1.2197638207441381,0.260630953376139,0.0,-0.1246097822920944
1.3195533762818945,0.264308285721009,0.0,0.0679200002330771
1.4192357219654927,0.2703447147562608,0.0,0.00936023490437976
1.518946137076181,0.27589249714120484,0.0,-0.08195688478069174
1.6187068569339,0.2804327782614126,0.0,-0.01055207393772406
1.7184938518335406,0.2842066379691639,0.0,0.0724074888010473
