timestamp,x_m,y_m,vx_mps,vy_mps,s_m,d_m (lateral_error),abs_lateral_error
1762251092.1160014,10.119956506242692,0.21638191269566318,3.558781221341287,0.0,2.31368704621799,-1.956601208486981,1.956601208486981
1762251092.1380389,10.112870598841647,0.28307584093134297,3.555545170950389,0.0,2.357192892098083,-1.9513587683714366,1.9513587683714366
1762251092.1647582,10.108323733112732,0.4086241744070767,3.5491102313370604,0.0,2.429616118938634,-1.952633044740562,1.952633044740562
1762251092.2090116,10.07197218626322,0.5497757774020351,3.5474642778816623,0.0,2.5232311872217315,-1.9265672455244056,1.9265672455244056
1762251092.2434597,10.056513791885006,0.7198845467321325,3.549181928507339,0.0,2.6281926889562714,-1.9286044047586215,1.9286044047586215
1762251092.2813287,10.009691348569017,0.8066552861528677,3.547141238356012,0.0,2.683791923289915,-1.8932180678286903,1.8932180678286903
1762251092.3091772,9.969678880818968,0.9528940940817506,3.5413914505198334,0.0,2.7792608264241667,-1.8756704415136662,1.8756704415136662
1762251092.3382752,9.945309157496672,1.0432621569521472,3.546352722703899,0.0,2.838291695675736,-1.8673592837046689,1.8673592837046689
1762251092.3639283,9.907778903536263,1.2090612447885842,3.5418827404211273,0.0,2.957013733951615,-1.8634657738089209,1.8634657738089209
1762251092.430305,9.852701978200004,1.4225076575730355,3.540755766816742,0.0,3.092644002382009,-1.8600468177701956,1.8600468177701956
1762251092.4778204,9.815194522851236,1.5655054706491154,3.5250198231209655,0.0,3.187617922350041,-1.8623325245236746,1.8623325245236746
1762251092.515857,9.77185738442299,1.7186319546216422,3.5285445424203448,0.0,3.2912165944736502,-1.866344624851,1.866344624851
1762251092.5431132,9.724310936554792,1.8564850818851475,3.518261965398896,0.0,3.385004986959295,-1.8659965529549591,1.8659965529549591
1762251092.5683424,9.69718997172215,1.9273442223300823,3.5028761388995373,0.0,3.4347574519872137,-1.8648620751685698,1.8648620751685698
1762251092.6042519,9.627599730983192,2.062540332528558,3.5073897131773224,0.0,3.533815028432979,-1.849158747890662,1.849158747890662
1762251092.6670191,9.567463287798377,2.186833716775047,3.541819614092276,0.0,3.6267230321719297,-1.842042852689338,1.842042852689338
1762251092.7255578,9.509996607267798,2.3905672079002023,3.5184222290692033,0.0,3.7634235250578776,-1.8750966127401,1.8750966127401
1762251092.7650201,9.325573662230523,2.588280449874795,3.478969848460223,0.0,3.930637129116107,-1.8017760732506722,1.8017760732506722
1762251092.7897973,9.303027187538182,2.6301862452152736,3.495606520642659,0.0,3.9633334350148774,-1.8023348936724617,1.8023348936724617
1762251092.8417902,9.19479128406548,2.7404581096096026,3.472258448880165,0.0,4.061855616780932,-1.7638340301421835,1.7638340301421835
1762251092.891645,9.065397529314506,2.8706278590889753,3.4621394840887,0.0,4.176091404546251,-1.7226015271127157,1.7226015271127157
1762251092.9281504,8.845807205480348,3.0466484148409476,3.4781122812983813,0.0,4.361059625000828,-1.6405146011145768,1.6405146011145768
1762251092.957664,8.737571667065744,3.1230015524986925,3.4601251023869306,0.0,4.443242145608201,-1.5990203837954267,1.5990203837954267
1762251093.0206342,8.708311499822525,3.1547419433591446,3.480710877874429,0.0,4.472409174008394,-1.5951333744761205,1.5951333744761205
1762251093.0481997,8.51333886345755,3.12854545029289,3.4807059791947577,0.0,4.542998065023868,-1.4259538786407902,1.4259538786407902
1762251093.0742555,8.46580014418911,3.1826582643291235,3.476791322150908,0.0,4.5937109899905515,-1.4235280349687318,1.4235280349687318
1762251093.0988672,8.43781808352181,3.263539067124273,3.483094939002109,0.0,4.652235022486398,-1.4544860069563614,1.4544860069563614
1762251093.1204314,8.455001683528454,3.2848484465102414,3.4794044378477524,0.0,4.655157157082611,-1.481418826110525,1.481418826110525
1762251093.1439085,8.392661857051502,3.353192431254319,3.480963384873119,0.0,4.718100094984295,-1.4798459277643852,1.4798459277643852
1762251093.1713097,8.28518728966,3.4435363567016513,3.47754437790201,0.0,4.813132344962145,-1.462391151244261,1.462391151244261
1762251093.225293,8.160011551131484,3.5597227504994473,3.4802647393181347,0.0,4.931902147512668,-1.455130082137193,1.455130082137193
1762251093.2701485,7.996093976121735,3.749806423176576,3.479193756054772,0.0,5.107722514894469,-1.4830119396180592,1.4830119396180592
1762251093.3321996,7.8615162606428735,3.898692039601312,3.4771311374113396,0.0,5.251995238204056,-1.5091879844063598,1.5091879844063598
1762251093.3748913,7.679124903774116,4.093412984287169,3.4813385646267263,0.0,5.4448210632749605,-1.5502195342299143,1.5502195342299143
1762251093.4219885,7.507067148400001,4.217635282715152,3.3098589240395895,0.0,5.601490797227602,-1.5507467714937941,1.5507467714937941
1762251093.450142,7.362643152612416,4.302736410916014,3.225953406420399,0.0,5.727273336517944,-1.5408975894456547,1.5408975894456547
1762251093.480735,7.212207697198682,4.332149071588374,3.1120518256263106,0.0,5.8352107932943476,-1.4850469575176763,1.4850469575176763
1762251093.5149224,7.114526550370548,4.398146699832246,2.900947818668125,0.0,5.924697318882718,-1.490831084490019,1.490831084490019
1762251093.5558016,7.054363913759026,4.425325678486142,2.63566213915771,0.0,5.97356871914615,-1.4838284926150074,1.4838284926150074
1762251093.5937085,6.91639077532025,4.469350391509321,2.0583588517762963,0.0,6.0833049327266675,-1.4542728360534074,1.4542728360534074
1762251093.6425602,6.740840708067622,4.5718354960494345,1.5320675636503653,0.0,6.242830051821987,-1.4625022318569583,1.4625022318569583
1762251093.6644542,6.7392997799034715,4.591631860911078,1.3926551469027229,0.0,6.249261200368512,-1.4794350886007006,1.4794350886007006
1762251093.6895921,6.75321714058882,4.594152535742047,1.1696351475751707,0.0,6.242193196819745,-1.4880069008757522,1.4880069008757522
1762251093.7151787,6.756817203242566,4.592332639180086,1.0058622941176323,0.0,6.238980848043167,-1.4880270588415712,1.4880270588415712
1762251093.734652,6.763653744043295,4.597750870032647,0.7985666319872599,0.0,6.236118834828193,-1.495967073973603,1.495967073973603
1762251093.7537215,6.761307189879783,4.596195223462703,0.7028610059153578,0.0,6.237211461067048,-1.4935121557477762,1.4935121557477762
1762251093.7752075,6.765413957679028,4.594392193165045,0.6930725513247838,0.0,6.233649224579502,-1.4937824984986392,1.4937824984986392
1762251093.8071666,6.7626542184489615,4.595316381353019,0.528443671296452,0.0,6.235938166547412,-1.4933447353439064,1.4933447353439064
1762251093.8331594,6.742041497309972,4.587860279890579,0.2991495391071323,0.0,6.246268799720761,-1.4773199426271681,1.4773199426271681
1762251093.8589866,6.731414870438385,4.582435210795045,0.2304644080077982,0.0,6.251293388906388,-1.467662167154565,1.467662167154565
1762251093.8906543,6.726176483264759,4.5746474072383805,-0.009309809856104002,0.0,6.25214930737415,-1.4583457593121671,1.4583457593121671
1762251093.9213703,6.724378567100165,4.572354477078472,-0.00046255522605477827,0.0,6.252605865768551,-1.4554869589693409,1.4554869589693409
1762251093.9524188,6.725439513697482,4.570056139511362,-0.009238106767323102,0.0,6.251059766339768,-1.4539194119277257,1.4539194119277257
1762251093.987182,6.720564107148031,4.567496449852554,-0.00895184810380831,0.0,6.253577745308646,-1.4494278151858855,1.4494278151858855
1762251094.0126157,6.717290039373987,4.567770896806093,-0.010716539086819306,0.0,6.256017837226205,-1.4481897529969439,1.4481897529969439
